COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
FULTON,2,0,3,0,0,2,0,0,0,0,1,5,0,1,0,7,2,0,4,0,0,0,0,0,0,2,0,3,0,0,284,0,201,0,0,324,0,0,0,0,226,327,0,136,0,251,516,0,300,0,0,0,0,0,0,230,0,471,0,0,2,0,3,0,0,2,0,0,0,0,1,5,0,1,0,7,2,0,4,0,0,0,0,0,0,2,0,3,0,0,60,0,58,0,0,41,0,0,0,0,84,105,0,56,0,79,92,0,62,0,0,0,0,0,0,94,0,138,0,0,0
GALLATIN,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,585,0,0,475,377,0,0,293,0,0,0,0,101,0,145,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,197,0,0,52,135,0,0,60,0,0,0,0,79,0,19,0,0
GARRARD,2,1,3,0,3,1,0,0,0,0,3,4,1,3,0,3,0,0,0,0,2,1,1,2,2,0,5,5,0,13,214,300,294,0,215,894,0,0,0,0,212,245,186,243,0,298,0,0,0,0,200,279,392,258,278,0,284,211,0,236,2,1,3,0,3,1,0,0,0,0,3,4,1,3,0,3,0,0,0,0,2,1,1,2,2,0,5,5,0,13,148,453,125,0,81,110,0,0,0,0,154,158,115,53,0,16,0,0,0,0,452,232,316,226,208,0,65,127,0,65,0
GRANT,1,0,0,0,0,0,0,1,0,0,4,2,4,6,3,1,0,10,2,4,2,1,0,3,0,0,0,0,2,0,162,0,0,0,0,0,0,276,0,0,351,298,289,326,429,279,0,256,316,284,346,342,0,140,0,0,0,0,333,0,1,0,0,0,0,0,0,1,0,0,4,2,4,6,3,1,0,10,2,4,2,1,0,3,0,0,0,0,2,0,89,0,0,0,0,0,0,48,0,0,48,52,34,46,74,39,0,39,92,62,17,85,0,24,0,0,0,0,143,0,0
GRAVES,1,0,0,2,2,1,1,7,0,1,0,1,0,0,0,3,10,5,3,1,9,5,7,7,0,0,10,6,7,16,333,0,0,335,306,501,315,165,0,374,0,558,0,0,0,151,220,245,305,106,227,167,285,187,0,0,176,189,128,254,1,0,0,2,2,1,1,7,0,1,0,1,0,0,0,3,10,5,3,1,9,5,7,7,0,0,10,6,7,16,139,0,0,74,56,201,139,9,0,182,0,135,0,0,0,12,83,46,181,16,42,85,265,118,0,0,188,138,137,37,0
GRAYSON,0,2,0,0,0,2,0,0,123,56,16,16,0,0,3,4,34,28,2,1,52,27,5,2,0,1,3,8,3,1,0,222,0,0,0,294,0,0,227,237,263,172,0,0,171,434,172,304,240,163,227,186,134,198,0,82,325,153,150,158,0,2,0,0,0,2,0,0,123,56,16,16,0,0,3,4,34,28,2,1,52,27,5,2,0,1,3,8,3,1,0,72,0,0,0,50,0,0,20,24,40,44,0,0,7,10,36,81,33,51,22,28,22,38,0,80,19,50,99,28,0
GREEN,0,0,0,0,0,1,2,3,1,2,3,2,4,5,2,0,4,4,0,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,260,402,137,199,342,184,280,320,169,146,0,138,180,0,104,168,0,0,0,0,0,0,0,156,176,0,0,0,0,0,1,2,3,1,2,3,2,4,5,2,0,4,4,0,1,2,0,0,0,0,0,0,0,1,6,0,0,0,0,0,53,166,76,17,128,21,68,106,71,14,0,20,73,0,24,40,0,0,0,0,0,0,0,33,26,0
GREENUP,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,126,0,0,0,0,0,0,114,188,358,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,44,0,0,0,0,0,0,47,112,26,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
HANCOCK,0,0,0,0,0,0,0,0,3,2,6,5,3,1,1,0,3,5,2,2,6,1,5,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,174,289,140,253,433,284,134,0,147,144,156,124,126,226,126,173,149,0,0,0,0,289,0,0,0,0,0,0,0,0,3,2,6,5,3,1,1,0,3,5,2,2,6,1,5,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,11,28,12,34,17,166,6,0,12,36,69,52,28,22,37,80,22,0,0,0,0,24,0
HARDIN,2,1,5,5,3,6,2,11,6,6,14,14,7,10,11,17,9,17,21,13,11,6,1,7,6,2,1,2,4,15,200,145,181,305,329,322,250,154,408,224,165,346,259,181,195,180,272,196,256,349,237,198,324,248,174,192,302,255,444,211,2,1,5,5,3,6,2,11,6,6,14,14,7,10,11,17,9,17,21,13,11,6,1,7,6,2,1,2,4,15,92,31,28,18,59,51,32,33,26,8,39,45,22,45,14,24,50,47,66,80,14,56,17,41,34,36,28,41,64,46,0
