COUNTY,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
CARROLL,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,224,441,659,0,0,0,0,289,0,0,0,0,0,271,0,263,217,0,0,0,0,0,0,0,0,287,0,203,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,82,189,480,0,0,0,0,300,0,0,0,0,0,362,0,228,103,0,0,0,0,0,0,0,0,92,0,197,0
CARTER,0,1,3,0,0,0,0,0,0,0,4,0,0,0,2,1,3,2,1,0,0,0,1,0,8,0,0,1,0,0,0,330,235,0,0,0,0,0,0,0,305,0,0,0,172,117,240,280,183,0,0,0,140,0,226,0,0,127,0,0,0,1,3,0,0,0,0,0,0,0,4,0,0,0,2,1,3,2,1,0,0,0,1,0,8,0,0,1,0,0,0,104,64,0,0,0,0,0,0,0,206,0,0,0,90,10,86,317,122,0,0,0,28,0,76,0,0,87,0,0
CASEY,13,0,3,0,7,9,1,2,2,0,3,0,0,0,0,0,0,8,11,10,1,2,1,13,2,3,2,0,0,318,249,0,274,0,206,198,168,194,124,0,202,0,0,0,0,0,0,248,255,296,265,512,195,175,200,241,181,0,0,5,13,0,3,0,7,9,1,2,2,0,3,0,0,0,0,0,0,8,11,10,1,2,1,13,2,3,2,0,0,126,69,0,46,0,153,54,95,62,32,0,42,0,0,0,0,0,0,67,130,158,536,792,110,35,110,221,120,0,0,0
CHRISTIAN,17,74,15,10,20,23,81,58,10,0,11,3,3,4,1,0,8,1,2,15,4,8,3,3,0,23,0,12,3,350,362,392,326,370,374,320,321,250,353,0,328,265,187,318,388,0,217,532,252,355,182,380,462,189,0,240,0,304,361,34,17,74,15,10,20,23,81,58,10,0,11,3,3,4,1,0,8,1,2,15,4,8,3,3,0,23,0,12,3,87,80,48,79,71,72,72,62,59,76,0,47,86,43,102,180,0,60,19,22,170,72,146,146,16,0,68,0,402,107,0
CLARK,0,0,2,1,6,13,17,2,1,1,0,0,1,1,0,1,2,3,0,0,4,2,3,3,0,0,0,0,0,249,0,0,340,387,340,341,272,286,250,806,0,0,440,460,0,535,344,545,0,0,475,346,256,399,0,0,0,0,0,2,0,0,2,1,6,13,17,2,1,1,0,0,1,1,0,1,2,3,0,0,4,2,3,3,0,0,0,0,0,38,0,0,418,311,78,171,162,80,92,536,0,0,474,31,0,42,98,359,0,0,84,62,38,115,0,0,0,0,0,0
CLAY,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,118,128,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,133,0,244,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,12,35,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,142,0,112,0
CLINTON,1,5,0,3,0,0,1,0,0,1,3,5,1,2,1,1,8,1,7,7,6,1,5,5,4,2,9,6,3,138,152,120,0,148,0,0,557,0,0,191,292,236,158,90,290,93,264,253,362,368,232,234,311,509,234,161,262,168,148,1,1,5,0,3,0,0,1,0,0,1,3,5,1,2,1,1,8,1,7,7,6,1,5,5,4,2,9,6,3,103,39,31,0,56,0,0,482,0,0,171,235,191,105,16,248,21,106,285,252,226,77,190,163,169,156,38,225,72,141,0
CRITTENDEN,6,8,6,4,28,1,5,5,6,2,0,0,1,3,1,12,11,3,9,0,3,42,6,20,12,1,1,21,3,208,171,192,273,254,224,119,236,153,176,244,0,0,111,137,124,137,157,307,193,0,185,178,133,220,118,465,124,191,198,6,6,8,6,4,28,1,5,5,6,2,0,0,1,3,1,12,11,3,9,0,3,42,6,20,12,1,1,21,3,22,26,30,20,44,44,16,31,32,42,48,0,0,18,9,12,20,15,22,34,0,24,42,11,38,21,24,26,22,31,0
CUMBERLAND,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,2,0,6,757,0,0,0,0,0,0,0,0,0,0,282,190,0,0,0,0,0,0,214,0,0,0,136,0,0,124,274,0,140,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,2,0,6,615,0,0,0,0,0,0,0,0,0,0,124,68,0,0,0,0,0,0,38,0,0,0,70,0,0,213,102,0,56,0
DAVIESS,19,36,20,15,22,24,59,4,31,3,5,2,0,2,0,5,0,4,3,7,2,2,16,0,0,2,1,0,1,336,244,273,218,184,310,236,236,224,346,363,338,143,0,382,0,148,0,273,164,218,184,197,302,0,0,188,541,0,331,12,19,36,20,15,22,24,59,4,31,3,5,2,0,2,0,5,0,4,3,7,2,2,16,0,0,2,1,0,1,201,63,70,68,59,80,80,92,58,73,97,131,62,0,63,0,11,0,16,20,54,312,77,142,0,0,67,261,0,67,0
EDMONSON,0,5,1,1,2,1,1,0,5,2,0,2,0,0,2,6,0,0,0,3,0,6,3,0,7,0,0,4,1,0,0,134,268,107,170,131,392,0,160,216,0,164,0,0,131,270,0,0,0,226,0,231,238,0,303,0,0,131,118,0,0,5,1,1,2,1,1,0,5,2,0,2,0,0,2,6,0,0,0,3,0,6,3,0,7,0,0,4,1,0,0,61,56,48,34,77,201,0,36,69,0,28,0,0,8,58,0,0,0,32,0,38,50,0,45,0,0,36,29,0
ELLIOTT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,179,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,46,0,0,0,0,0,0,0,0,0
ESTILL,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,3,3,0,4,1,3,3,9,8,3,6,2,9,0,525,0,0,0,0,0,0,0,0,225,0,0,0,0,150,459,145,156,0,210,309,246,216,184,180,344,211,148,203,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,3,3,0,4,1,3,3,9,8,3,6,2,9,0,28,0,0,0,0,0,0,0,0,32,0,0,0,0,48,22,38,46,0,71,12,76,43,25,78,56,105,24,150,0,0
FAYETTE,4,6,4,2,2,8,3,7,2,10,5,10,5,11,3,0,6,10,4,7,6,3,4,5,2,2,2,5,2,0,241,207,298,444,642,296,238,238,406,224,284,286,391,216,288,0,362,482,194,309,226,320,578,523,342,364,226,387,454,0,4,6,4,2,2,8,3,7,2,10,5,10,5,11,3,0,6,10,4,7,6,3,4,5,2,2,2,5,2,0,49,536,88,146,591,98,168,52,408,210,300,281,179,268,406,0,290,229,40,136,72,283,372,315,160,559,76,207,364,0
FLEMING,4,0,0,5,2,4,4,9,6,4,1,1,0,15,0,0,0,8,10,0,0,0,5,0,7,1,0,0,0,200,312,0,0,192,136,230,244,316,348,332,373,429,0,349,0,0,0,338,238,0,0,0,287,0,272,135,0,0,0,8,4,0,0,5,2,4,4,9,6,4,1,1,0,15,0,0,0,8,10,0,0,0,5,0,7,1,0,0,0,48,120,0,0,170,74,138,136,123,80,194,126,69,0,214,0,0,0,60,61,0,0,0,40,0,77,200,0,0,0,0
FLOYD,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,196,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,40,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
