COUNTY,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
NICHOLAS,2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,3,1,3,1,6,6,0,2,329,238,0,257,0,0,0,597,0,0,352,0,0,0,312,190,348,0,208,0,0,0,477,346,376,180,400,377,0,339,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,0,3,1,3,1,6,6,0,2,73,52,0,187,0,0,0,65,0,0,26,0,0,0,33,165,39,0,28,0,0,0,132,263,39,75,76,95,0,60,0
OHIO,4,0,1,3,0,2,2,0,6,0,1,3,0,1,4,4,10,6,1,0,4,0,1,1,1,0,0,1,0,221,186,0,157,214,0,272,178,0,194,0,340,191,0,225,158,182,160,198,262,0,160,0,128,91,117,0,0,219,0,3,4,0,1,3,0,2,2,0,6,0,1,3,0,1,4,4,10,6,1,0,4,0,1,1,1,0,0,1,0,22,40,0,27,32,0,22,14,0,152,0,94,40,0,35,33,30,14,44,53,0,20,0,5,20,22,0,0,114,0,0
OLDHAM,1,5,2,0,1,0,0,4,3,1,2,4,0,1,0,3,2,3,0,0,0,0,2,2,0,1,1,2,0,260,258,347,276,0,117,0,0,210,286,147,120,253,0,201,0,287,419,249,0,0,0,0,274,253,0,324,104,224,0,16,1,5,2,0,1,0,0,4,3,1,2,4,0,1,0,3,2,3,0,0,0,0,2,2,0,1,1,2,0,40,26,56,120,0,35,0,0,32,51,33,12,210,0,76,0,41,123,45,0,0,0,0,84,66,0,74,32,350,0,0
OWEN,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,1,3,3,2,4,1,0,0,0,0,1,0,0,2,0,0,0,0,473,253,0,0,0,0,242,0,0,288,0,0,303,239,210,276,298,302,0,0,0,0,197,0,0,262,0,0,0,0,3,1,0,0,0,0,2,0,0,2,0,0,1,3,3,2,4,1,0,0,0,0,1,0,0,2,0,0,0,0,165,48,0,0,0,0,52,0,0,67,0,0,383,21,71,28,100,94,0,0,0,0,258,0,0,172,0
OWSLEY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
PENDLETON,0,1,1,0,0,0,0,0,1,8,0,1,0,11,4,0,0,0,0,0,34,8,0,2,0,0,0,0,0,0,0,378,230,0,0,0,0,0,351,339,0,287,0,230,252,0,0,0,0,0,274,160,0,198,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,8,0,1,0,11,4,0,0,0,0,0,34,8,0,2,0,0,0,0,0,0,0,466,171,0,0,0,0,0,87,190,0,154,0,157,16,0,0,0,0,0,165,30,0,209,0,0,0,0,0,0
PERRY,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,5,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,81,0,0,210,312,0,166,0,245,0,0,0,584,172,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,5,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,8,0,0,40,130,0,9,0,12,0,0,0,556,10,0,0
PIKE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POWELL,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,204,0,0,0,0,1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,26,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PULASKI,0,5,4,3,7,8,5,8,2,7,11,3,12,35,25,6,9,3,5,8,1,11,6,5,1,4,6,3,6,241,0,305,216,282,254,288,228,178,294,285,210,185,238,234,182,210,462,284,192,124,300,260,258,175,309,187,202,239,274,9,0,5,4,3,7,8,5,8,2,7,11,3,12,35,25,6,9,3,5,8,1,11,6,5,1,4,6,3,6,80,0,95,56,37,62,98,38,44,87,110,121,75,79,55,85,55,102,98,70,54,170,122,99,139,638,126,44,142,190,0
ROBERTSON,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,343,208,0,0,0,0,286,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,177,83,0,0,0,0,36,0,49,0,0,0,0,0
ROCKCASTLE,0,2,13,1,1,7,7,9,4,0,2,0,0,0,0,0,3,1,5,0,2,8,2,1,9,7,13,0,7,249,0,284,192,194,186,211,195,313,368,0,199,0,0,0,0,0,197,190,150,0,223,206,271,130,195,211,278,0,266,3,0,2,13,1,1,7,7,9,4,0,2,0,0,0,0,0,3,1,5,0,2,8,2,1,9,7,13,0,7,159,0,134,80,50,125,43,63,62,97,0,98,0,0,0,0,0,93,40,106,0,92,66,86,108,30,86,47,0,79,0
ROWAN,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,309,250,204,0,0,0,344,127,0,0,0,0,0,0,0,241,0,80,65,0,0,0,0,167,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,136,71,42,0,0,0,93,102,0,0,0,0,0,0,0,47,0,38,59,0,0,0,0,4,0
RUSSELL,0,1,0,2,1,0,1,0,2,1,2,1,1,0,1,3,0,3,2,1,2,0,0,0,4,1,0,1,0,212,0,106,0,236,145,0,164,0,288,173,125,186,154,0,225,79,0,208,306,248,202,0,0,0,259,522,0,160,0,21,0,1,0,2,1,0,1,0,2,1,2,1,1,0,1,3,0,3,2,1,2,0,0,0,4,1,0,1,0,58,0,8,0,194,111,0,121,0,82,84,196,119,51,0,270,206,0,23,76,190,92,0,0,0,48,172,0,40,0,0
SCOTT,2,1,10,14,7,8,17,14,20,13,2,3,1,1,2,2,8,2,3,0,1,14,4,1,9,0,43,0,4,458,236,359,323,300,501,247,213,229,333,265,400,274,313,252,526,267,260,792,366,0,184,280,348,225,343,0,273,0,266,1,2,1,10,14,7,8,17,14,20,13,2,3,1,1,2,2,8,2,3,0,1,14,4,1,9,0,43,0,4,358,90,444,127,314,453,312,202,216,286,281,287,69,441,642,397,356,24,337,424,0,111,383,309,83,445,0,345,0,330,0
SHELBY,18,10,69,33,129,29,46,40,34,7,23,27,4,15,15,4,37,32,9,22,2,8,0,1,7,3,1,15,1,258,224,290,214,306,294,265,248,278,263,262,323,391,217,181,234,196,217,284,272,218,170,188,0,190,155,284,158,214,221,34,18,10,69,33,129,29,46,40,34,7,23,27,4,15,15,4,37,32,9,22,2,8,0,1,7,3,1,15,1,178,42,172,47,205,175,101,86,77,210,53,147,103,42,37,101,64,178,147,201,118,24,150,0,52,29,174,16,24,275,0
SIMPSON,31,30,33,42,29,13,14,26,10,14,20,16,7,8,7,9,9,16,1,0,16,1,0,17,6,5,5,0,0,338,315,364,357,338,385,318,278,382,334,369,387,328,663,214,269,341,401,422,196,0,242,223,0,294,338,309,216,0,0,129,31,30,33,42,29,13,14,26,10,14,20,16,7,8,7,9,9,16,1,0,16,1,0,17,6,5,5,0,0,69,72,88,90,76,59,62,57,98,68,67,114,73,224,42,36,81,56,104,85,0,82,110,0,63,82,83,90,0,0,0
SPENCER,1,1,0,12,0,0,0,0,0,0,6,0,1,2,9,7,13,19,7,6,0,4,0,12,4,6,0,2,2,316,127,149,0,182,0,0,0,0,0,0,162,0,284,241,157,218,188,236,431,302,0,272,0,186,169,214,0,260,319,10,1,1,0,12,0,0,0,0,0,0,6,0,1,2,9,7,13,19,7,6,0,4,0,12,4,6,0,2,2,276,133,124,0,200,0,0,0,0,0,0,42,0,141,30,58,101,67,78,103,116,0,128,0,126,206,114,0,244,99,0
TAYLOR,9,11,6,13,17,8,11,6,19,9,13,10,6,10,1,14,4,41,12,19,14,8,15,1,2,6,1,0,0,298,255,316,356,277,245,314,180,314,247,350,401,328,221,406,785,227,240,258,268,182,256,314,280,238,250,199,196,0,0,19,9,11,6,13,17,8,11,6,19,9,13,10,6,10,1,14,4,41,12,19,14,8,15,1,2,6,1,0,0,91,71,76,175,59,53,69,76,136,67,93,181,78,55,172,99,64,74,76,60,53,94,80,57,85,83,46,102,0,0,0
TODD,80,17,24,103,43,42,298,113,70,28,3,20,34,4,10,42,32,16,2,5,19,23,18,12,2,14,1,4,0,311,392,347,336,361,387,312,381,375,388,382,475,302,270,472,350,299,326,352,433,338,266,273,351,264,248,181,103,294,0,65,80,17,24,103,43,42,298,113,70,28,3,20,34,4,10,42,32,16,2,5,19,23,18,12,2,14,1,4,0,77,74,61,64,67,77,62,98,78,88,68,98,90,50,222,52,62,69,100,79,227,78,107,115,54,230,38,14,195,0,0
TRIGG,17,36,28,12,11,4,11,10,16,11,7,6,5,2,12,5,8,31,28,75,66,75,123,71,106,120,108,77,138,324,333,324,338,342,401,486,290,368,328,320,273,286,231,334,266,316,294,233,279,255,256,216,223,226,223,212,260,214,234,44,17,36,28,12,11,4,11,10,16,11,7,6,5,2,12,5,8,31,28,75,66,75,123,71,106,120,108,77,138,73,49,44,64,66,69,163,33,36,73,43,59,114,43,41,44,109,48,65,46,64,54,44,42,51,38,38,50,46,76,0
TRIMBLE,7,3,0,2,0,2,1,4,0,0,0,3,0,0,4,1,0,5,4,1,5,9,2,0,0,0,4,1,0,209,252,263,0,316,0,232,213,307,0,0,0,338,0,0,272,444,0,248,276,151,235,433,574,0,0,0,175,179,0,3,7,3,0,2,0,2,1,4,0,0,0,3,0,0,4,1,0,5,4,1,5,9,2,0,0,0,4,1,0,17,48,75,0,78,0,39,35,81,0,0,0,160,0,0,36,278,0,131,113,7,69,136,24,0,0,0,28,23,0,0
UNION,1074,840,513,675,919,391,404,373,264,41,5,5,17,8,37,2,28,20,4,11,8,9,10,9,0,3,5,1,0,274,307,290,293,245,264,266,252,276,286,261,274,260,184,184,286,229,175,260,312,181,179,215,256,244,0,141,175,235,0,816,1074,840,513,675,919,391,404,373,264,41,5,5,17,8,37,2,28,20,4,11,8,9,10,9,0,3,5,1,0,70,74,63,67,59,59,63,64,65,66,64,38,69,58,18,49,134,44,76,23,47,28,44,28,37,0,14,50,39,0,0
WARREN,17,6,8,6,12,15,9,14,2,7,0,4,3,5,0,0,2,3,0,0,2,0,0,1,3,1,26,2,1,390,480,390,374,354,260,208,219,330,404,222,0,270,415,242,0,0,256,245,0,0,196,0,0,152,244,96,188,170,287,9,17,6,8,6,12,15,9,14,2,7,0,4,3,5,0,0,2,3,0,0,2,0,0,1,3,1,26,2,1,38,104,60,58,72,58,29,66,34,42,31,0,68,75,28,0,0,45,59,0,0,42,0,0,204,36,40,44,56,189,0
WASHINGTON,0,13,3,1,6,17,2,1,0,0,1,2,0,5,0,0,4,2,5,0,3,6,0,1,2,1,1,1,3,264,0,282,166,314,322,293,350,228,0,0,287,164,0,252,0,0,310,198,229,0,431,154,0,208,168,199,207,164,201,11,0,13,3,1,6,17,2,1,0,0,1,2,0,5,0,0,4,2,5,0,3,6,0,1,2,1,1,1,3,71,0,87,86,201,122,117,102,114,0,0,102,94,0,220,0,0,160,130,78,0,202,29,0,113,84,56,89,124,87,0
WAYNE,17,10,31,29,21,30,30,54,30,21,27,27,29,25,9,18,7,26,32,23,21,13,19,29,23,28,14,1,18,370,349,318,280,328,274,268,295,306,326,246,291,199,214,204,400,274,259,400,341,305,288,339,259,279,259,254,264,225,283,24,17,10,31,29,21,30,30,54,30,21,27,27,29,25,9,18,7,26,32,23,21,13,19,29,23,28,14,1,18,70,157,164,81,81,105,82,64,98,94,54,104,60,60,62,95,93,134,146,98,137,151,163,112,151,103,110,52,27,56,0
WEBSTER,195,117,50,50,66,13,11,2,34,5,0,2,0,1,1,0,10,0,0,0,0,0,3,0,0,0,0,1,2,266,261,259,334,234,204,255,180,254,232,219,0,205,0,68,245,0,192,0,0,0,0,0,195,0,0,0,0,179,184,79,195,117,50,50,66,13,11,2,34,5,0,2,0,1,1,0,10,0,0,0,0,0,3,0,0,0,0,1,2,82,67,61,79,51,42,40,56,44,56,42,0,37,0,23,39,0,71,0,0,0,0,0,42,0,0,0,0,56,53,0
WHITLEY,2,0,0,2,0,1,0,1,1,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,7,1,0,0,2,0,219,0,0,188,0,250,0,193,322,0,287,0,0,0,228,0,294,0,0,0,0,0,370,0,153,130,0,0,122,0,2,0,0,2,0,1,0,1,1,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,7,1,0,0,2,0,14,0,0,42,0,50,0,66,175,0,66,0,0,0,34,0,76,0,0,0,0,0,184,0,36,9,0,0,16,0
WOLFE,1,0,0,1,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,66,0,0,300,177,99,0,0,87,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,48,0,0,255,136,61,0,0,109,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODFORD,6,4,5,15,51,39,6,8,24,0,3,8,3,0,8,0,3,0,3,10,11,39,5,15,10,1,3,1,4,404,398,500,386,339,410,335,332,298,250,0,445,242,288,0,347,0,506,0,134,183,199,286,288,282,282,185,345,167,110,10,6,4,5,15,51,39,6,8,24,0,3,8,3,0,8,0,3,0,3,10,11,39,5,15,10,1,3,1,4,397,408,356,168,376,217,207,147,240,150,0,56,216,582,0,450,0,175,0,37,362,138,202,241,283,207,430,100,42,56,0
